<b>Arrays & Tiles</b> , <b>アレイとタイル</b>
Teal Orange 2 , ティールオレンジ2
Teal Orange 3 , ティールオレンジ3
TechnicalFX - Backlight Filter , TechnicalFX - バックライトフィルタ
Teddy , テディ
Teigen 28 , テイゲン28
Temperature Balance , 温度バランス
Ten Layers , 10層
Tends to Be Square , スクエアになりがち
Tension Green 1 , テンショングリーン1
Tension Green 2 , テンショングリーン2
Tension Green 3 , テンショングリーン3
Tension Green 4 , テンショングリーン4
Tensor Smoothness , テンソル平滑度
Terra 4 , テラ4
Tertiary Factor , 第三次因子
Tertiary Gamma , 第三次ガンマ
Tertiary Shift , 第三次シフト
Tertiary Twist , 第三次ツイスト
Tetris , テトリス
Text , テキスト
Texture , テクスチャ
Texture Enhance , テクスチャ強化
Textured Glass , テクスチャードガラス
The Game of Life , 人生のゲーム
The Matrices , 行列
Thelypteridaceae , フトモモ科
Thickness , 厚み
Thickness (%) , 厚み(%)
Thickness (px) , 厚さ(px)
Thickness Factor , 厚み係数
Thin Edges , 薄いエッジ
Thin Separators , 薄型セパレータ
Thinness , 薄さ
Thinning , 間引き
Thinning (Slow) , 間引き（スロー
Three Layers , 三層構造
Threshold , しきい値
Threshold (%) , しきい値(%)
Threshold Etch , しきい値エッチング
Threshold High , しきい値が高い
Threshold Low , しきい値が低い
Threshold Max , しきい値最大値
Threshold Mid , しきい値中間値
Threshold On , しきい値
Thriller 2 , スリラー2
Thumbnail Size , サムネイルサイズ
Tic-Tac-Toe , チックタックトウ
Tiger , 虎
Tikhonov , ティコノフ
Tile Poles , タイルポール
Tile Size , タイルサイズ
Tileable Rotation , タイル化可能な回転
Tiled Isolation , タイル張りのアイソレーション
Tiled Normalization , タイル状の正規化
Tiled Parameterization , タイル化されたパラメータ化
Tiled Preview , タイル張りのプレビュー
Tiled Random Shifts , タイル状のランダムシフト
Tiled Rotation , タイル張りの回転
Tiles , タイル
Tiles to Layers , タイルからレイヤーへ
Tilt , 傾き
Time , 時間
Time Step , タイムステップ
Timed Image , タイムドイメージ
Tiny , ちっちゃい
To Equirectangular , 間接角へ
To Nadir / Zenith , ナディールへ／ゼニス
Toasted Garden , トーストガーデン
Toes , つま先
Toggle to View Base Image , ベース画像を表示するにはトグル
Tolerance , 許容範囲
Tolerance to Gaps , ギャップへの耐性
Tonal Bandwidth , 同調帯域幅
Tone Blur , トーンブラー
Tone Enhance , トーン強化
Tone Gamma , トーンガンマ
Tone Mapping , トーンマッピング
Tone Mapping (%) , トーンマッピング (%)
Tone Mapping [Fast] , トーンマッピング[高速]
Tone Mapping Fast , トーンマッピングの高速化
Tone Mapping Soft , トーンマッピングソフト
Tone Presets , トーンプリセット
Tone Threshold , トーンしきい値
Tones Range , 音色の範囲
Tones Smoothness , トーンの滑らかさ
Tones to Layers , トーンからレイヤーへ
Top , トップ
Top Layer , 最上層
Top Left , 左上
Top Right , 右上
Top-Left Vertex (%) , 左上頂点 (%)
Top-Right Vertex (%) , 右上頂点(%)
Torus , トーラス
Total Layers , 総層数
Total Variation , 総バラツキ
Transfer Colors [Histogram] , 転写色[ヒストグラム]
Transfer Colors [Patch-Based] , トランスファーカラー[パッチベース]
Transfer Colors [PCA] , トランスファーカラー[PCA]
Transfer Colors [Variational] , トランスファーカラー【バリエーション
Transform , トランスフォーム
Transition Map , トランジションマップ
Transition Shape , トランジション形状
Transition Smoothness , 遷移の滑らかさ
Transmittance Map , 透過率マップ
Transparency , 透明性
Transparent , 透明な
Transparent Background , 透明な背景
Transparent Black & White , 透明なブラック＆ホワイト
Transparent Color , 透明な色
Transparent on Black , 黒地に透明
Transparent on White , 白地に透明
Transparent Skin , 透明な肌
Tree , ツリー
Trent 18 , トレント十八
Triangle , 三角形
Triangles , 三角形
Triangles (Outline) , 三角形（アウトライン
Triangular Ha , 三角ハ
Triangular Hb , 三角Hb
Triangular Va , 三角Va
Triangular Vb , 三角Vb
Tritanomaly , トライタノマリー
Tritanopia , トリタノピア
Truchet , トルシェ
True Colors 8 , トゥルーカラーズ8
Trunk Color , トランクカラー
Trunk Opacity (%) , 幹の不透明度 (%)
Trunks , トランクス
Tulips , チューリップ
Tunnel , トンネル
Turbulence , 乱流
Turbulence 2 , 乱流2
Turbulent Halftone , 乱流ハーフトーン
Turing , チューリング
Turkiest 42 , ターキエスト42
Turn on Rotate and Twirl , 回転と回転をオンにする
Tweed 71 , ツイード71
Twirl , 渦巻き
Twisted Rays , ツイステッドレイ
Two Layers , 二層構造
Two Threads , 二本の糸
Two-By-Two , ツーバイツー
Type , タイプ
Type Snowflake , タイプ スノーフレーク
Ultra Water , ウルトラウォーター
UltraWarp++++ , ウルトラワープ++++++
Unaligned Images , アラインメントされていない画像
Undeniable , 否定できない
Undeniable 2 , 否定できない2
Underwater , 水中
Undo Anaglyph , アナグリフを元に戻す
Uniform , 制服
Unknown , 不明
Unpurple , アンパープル
Unquantize [JPEG Smooth] , アンクオンタイズ [JPEG Smooth]
Unsharp Mask , アンシャープマスク
Unstrip , アンストリップ
Untwist , 紐を解く
Up-Left , 左上
Up-Right , アップライト
Upper Layer Is the Top Layer for All Blends , 上層はすべてのブレンドのトップレイヤー
Upper Side Orientation , 上面の向き
Uppercase Letters , 大文字
Upscale [DCCI2x] , アップスケール [DCCI2x]
Upscale [Diffusion] , アップスケール[拡散]
Upscale [Scale2x] , アップスケール [Scale2x]
Urban Cowboy , アーバン カウボーイ
Use as Hue , 色相として使用
Use as Saturation , 彩度として使用
Use Individual Depth Map , 個別のデプスマップを使用する
Use Light , ライトを使用する
Use Maximum Tones , 最大トーンを使用する
Use Top Layer as a Priority Mask , トップレイヤーを優先マスクとして使用する
User-Defined , ユーザー定義
User-Defined (Bottom Layer) , ユーザー定義(下層)
Uzbek Bukhara , ウズベクブハラ
Uzbek Marriage , ウズベク人の結婚
Uzbek Samarcande , ウズベクサマルカンデ
V Cutoff , Vカットオフ
Val Range , バルブレンジ
Value , 値
Value Action , バリューアクション
Value Blending , 価値のブレンド
Value Bottom , 値の底
Value Correction , 値補正
Value Factor , バリューファクター
Value Normalization , 値の正規化
Value Offset , 値オフセット
Value Precision , 値の精度
Value Range , 値の範囲
Value Scale , バリュースケール
Value Shift , バリューシフト
Value Smoothness , 値の滑らかさ
Value Top , バリュートップ
Value Variance , 値の分散
Values , 値
Van Gogh: Almond Blossom , ゴッホ：アーモンドブロッサム
Van Gogh: Irises , ゴッホ：花菖蒲
Van Gogh: The Starry Night , ゴッホ：星降る夜
Van Gogh: Wheat Field with Crows , ゴッホ：カラスのいる麦畑
Variability , 変動性
Variance , バリエーション
Variation A , バリエーションA
Variation B , バリエーションB
Variation C , バリエーションC
Vector Painting , ベクターペイント
Velocity , 速度
Velvetia , ベルベティアもく
Velvia , ベルビア
Vertex Type , 頂点タイプ
Vertical , 垂直方向
Vertical (%) , 垂直方向(%)
Vertical 1 Amount , 縦型 1 金額
Vertical 1 Length , 縦 1 長さ
Vertical 2 Amount , 縦型2 金額
Vertical 2 Length , 縦 2 長さ
Vertical Amount , 鉛直量
Vertical Array , 垂直配列
Vertical Blur , 垂直方向のぼかし
Vertical Length , 垂直方向の長さ
Vertical Size (%) , 縦寸法(%)
Vertical Stripes , 縦縞
Vertical Tiles , 縦型タイル
Very Course 5 , ベリーコース5
Very Fine , 非常に良い
Very High , 非常に高い
Very High (Even Slower) , 非常に高い（さらに遅い
Very Warm Greenish , 非常に暖かい緑がかった
Vibrant , 鮮やかな
Vibrant (alien) , 元気な（宇宙人
Vibrant (contrast) , 鮮やかな（コントラスト
Vibrant (crome-Ish) , バイブラント（クロームイッシュ
Victory , 勝利
View Outlines Only , アウトラインのみを表示
View Resolution , 解像度を見る
Vignette , ビネット
Vignette Contrast , ビネットのコントラスト
Vignette Max Radius , ビネット最大半径
Vignette Min Radius , ビネット最小半径
Vignette Size , ビネットサイズ
Vignette Strength , ビネットの強さ
Vignette Strenth , ビネット強度
Vintage , ヴィンテージ
Vintage (alt) , ヴィンテージ
Vintage (brighter) , ヴィンテージ（明るめ
Vintage 163 , ヴィンテージ163
Vintage Chrome , ヴィンテージクローム
Vintage Style , ヴィンテージスタイル
Vintage Tone (%) , ヴィンテージトーン (%)
Vintage Warmth 1 , ヴィンテージの暖かさ 1
Vireo 37 , ビレオ37
Virtual Landscape , バーチャルランドスケープ
Visible Watermark , 目に見える透かし
Vivid Edges , ビビッドエッジ
Vivid Edges* , ビビッドエッジ
Vivid Light , ビビッドライト
Vivid Screen , ビビッドスクリーン
Vividlight , ビビッドライト
Vorono&#239; , ボロノ。
Wall , 壁
Warhol , ウォーホール
Warm , 暖かさ
Warm (highlight) , 暖かい（ハイライト
Warm (yellow) , 暖色系（黄色
Warm Dark Contrasty , 暖かみのあるダークコントラスト
Warm Fade , ウォームフェード
Warm Fade 1 , ウォームフェード1
Warm Neutral , 暖かみのあるニュートラル
Warm Sunset Red , 暖かいサンセットレッド
Warm Teal , ウォームティール
Warm Vintage , 温かみのあるヴィンテージ
Warp [Interactive] , ワープ[インタラクティブ]
Warp by Intensity , 強度によるワープ
Water , 水
Waterfall , ウォーターフォール
Wave , 波
Wave(s) , 波
Wavelength , 波長
Wavelet , ウェーブレット
Waves Amplitude , 波の振幅
Waves Smoothness , 波の滑らかさ
We'll See , 拝見させていただきます
Weave , 織り方
Weird , 奇妙な
Whirl Drawing , 渦巻き図面
Whirls , 渦巻き
White , ホワイト
White Dices , ホワイトダイス
White Layers , 白い層
White Level , 白レベル
White on Black , 黒地に白
White on Transparent , 透明な上の白
White on Transparent Black , 透明な黒に白
White Point , ホワイトポイント
White to Black , 白から黒へ
White Walls , 白い壁
Whitening , ホワイトニング
Whiter Whites , より白い白人
Whites , 白人
Width , 幅
Width (%) , 幅(%)
Wind , 風
Winter Lighthouse , 冬の灯台
Wipe , 拭き取り
Wireframe , ワイヤーフレーム
Wiremap , ワイヤマップ
Without , なくても
Wooden Gold 20 , 木製ゴールド20
Work on Frameset , フレームセットの作業
Wrap , ラップ
X Center , X センター
X Origine , X オリジン
X(t) , Ｘ(t)
X-Amplitude , エックス振幅
X-Angle , Ｘアングル
X-Axis , Ｘ軸
X-Axis Then Y-Axis , X 軸、次に Y 軸
X-Border , エックスボーダー
X-Center , エックスセンター
X-Centering , エックスセンタリング
X-Centering (%) , X-センタリング (%)
X-Coordinate , エックス座標
X-Coordinate [Manual] , X座標[マニュアル]
X-Curvature , Ｘ曲率
X-Dispersion , エックスディスパーション
X-End (%) , Xエンド(%)
X-Factor , エックスファクター
X-Factor (%) , Xファクター(%)
X-Light , エックスライト
X-Max , エックスマックス
X-Min , エックスミン
X-Motion , エックスモーション
X-Multiplier , Ｘ倍数器
X-Offset , エックスオフセット
X-Offset (%) , X オフセット (%)
X-Ratio , エックスレシオ
X-Resolution , Ｘ解像度
X-Rotation , エックスローテーション
X-Scale , エックススケール
X-Seed (Julia) , エックスシード（ジュリア
X-Shadow , エックスシャドー
X-Shift , エックスシフト
X-Shift (%) , Xシフト(%)
X-Shift (px) , Xシフト (px)
X-Size , エックスサイズ
X-Size (px) , Xサイズ(px)
X-Smoothness , X-スムースネス
X-Tiles , エックスタイルズ
X-Variations , Ｘ変化
X/Y-Ratio , X/Y比
X1 (none) , X1 (なし)
Xor , Ｘｏｒ
XY Mirror , XYミラー
XY-Amplitude , ＸＹ振幅
XY-Axes , ＸＹ軸
XY-Axis , ＸＹ軸
XY-Coordinates (%) , XY座標(%)
XY-Factor , ＸＹ因子
XY-Light , ＸＹライト
XYZ , ＸＹＺ
XYZ8 , ＸＹＺ８
Y Center , Yセンター
Y Origine , Y オリジン
Y(t) , Ｙ(t)
Y-Amplitude , Ｙ振幅
Y-Angle , Ｙ角
Y-Axis , Ｙ軸
Y-Axis Then X-Axis , Y軸、次にX軸
Y-Border , Ｙボーダー
Y-Center , Ｙセンター
Y-Centering , Ｙセンタリング
Y-Centering (%) , Yセンタリング(%)
Y-Coordinate , Ｙ座標
Y-Coordinate [Manual] , Y座標[マニュアル]
Y-Curvature , Y曲率
Y-Dispersion , Ｙ分散
Y-End (%) , Yエンド(%)
Y-Factor , Ｙ因子
Y-Factor (%) , Y係数(%)
Y-Light , Ｙライト
Y-Motion , Ｙ運動
Y-Multiplier , Ｙ倍数
Y-Offset , Ｙオフセット
Y-Offset (%) , Yオフセット(%)
Y-Ratio , Ｙ比
Y-Resolution , Y分解能
Y-Rotation , Ｙ回転
Y-Scale , Ｙスケール
Y-Seed (Julia) , Ｙシード（ジュリア
Y-Shadow , Ｙシャドー
Y-Shift , Ｙシフト
Y-Shift (%) , Yシフト
Y-Shift (px) , Yシフト (px)
Y-Size , Ｙサイズ
Y-Size (px) , Yサイズ(px)
Y-Smoothness , Y-平滑度
Y-Start (%) , Yスタート(%)
Y-Tiles , Ｙタイル
Y-Variations , Y変化
Y-Warping , Ｙワーピング
YAG Effect , YAG効果
YCbCr , ＹＣｂＣｒ
YCbCr (Chroma Only) , YCbCr（クロマのみ
YCbCr (Distinct) , YCbCr (識別)
YCbCr (Luma Only) , YCbCr (Lumaのみ)
YCbCr (Mixed) , YCbCr（混合
YCbCr [Blue Chrominance] , YCbCr [ブルークロミナンス]
YCbCr [Blue-Red Chrominances] , YCbCr［青赤クロミナンス
YCbCr [Green Chrominance] , YCbCr [グリーンクロミナンス]
YCbCr [Luminance] , YCbCr [輝度]
YCbCr [Red Chrominance] , YCbCr [レッドクロミナンス]
Yellow , イエロー
Yellow 55B , 黄 55B
Yellow Factor , イエローファクター
Yellow Film 01 , イエローフィルム01
Yellow Shift , イエローシフト
Yellow Smoothness , 黄色の滑らかさ
Yellowstone , イエローストーン
YIQ , イーアイキュー
YIQ [chromas] , YIQ [クロマス]
YIQ [Luma] , YIQ[ルーマ]
YIQ8 , ＹＩＱ８
You Can Do It , あなたはそれを行うことができます
YUV , ユヴ
YUV8 , ユーブイエイト
Z-Angle , Ｚ角
Z-Light , Z-ライト
Z-Motion , Ｚ運動
Z-Multiplier , Ｚ倍数
Z-Offset , Ｚオフセット
Z-Range , Ｚレンジ
Z-Rotation , Ｚ回転
Z-Scale , Ｚスケール
Z-Size , Zサイズ
Zed 32 , ゼット32
Zeke 39 , ジーク三十九
Zelda , ゼルダ
Zero , ゼロ
ZilverFX - B&W Solarization , ZilverFX - 白黒ソラリゼーション
ZilverFX - Vintage B&W , ZilverFX - ビンテージ白黒
Zone System , ゾーンシステム
Zoom , ズーム
Zoom (%) , ズーム(%)
Zoom Center , ズームセンター
Zoom Factor , ズームファクター
Zoom In , ズームイン
Zoom Out , ズームアウト
