<b>Lights & Shadows</b> , <b>Lights & Shadows</b>(灯光和阴影)
Paintstroke , Paintstroke(绘画描边)
Pacman , Pacman(吃豆子)
Overlay , Overlay(叠加)
Outward , Outward(向外)
Outside-In , Outside-In(由外向内)
Outside , Outside(外)
Outlined , Outlined(轮廓线)
Outer , Outer(外)
Orwo NP20-GDR , Orwo NP20-GDR(奥沃NP20-GDR)
Orton Glow , Orton Glow(奥顿微光)
Original - Opening , Original - Opening(原始-开放)
Original - Erosion , Original - Erosion(原始-侵蚀)
Original - (Opening + Closing)/2 , Original - (Opening + Closing)/2(原始-(开放/关闭)/2)
Original , Original(原版)
Or , Or(或)
Optimized Lateral Inhibition , Optimized Lateral Inhibition(优化的侧向抑制)
Opening , Opening(开放)
Opaque Skin , Opaque Skin(不透明的皮肤)
Opaque Regions on Top Layer , Opaque Regions on Top Layer(顶层不透明区域)
Opaque Pixels , Opaque Pixels(不透明像素)
One Thread , One Thread(单线程)
One Layer per Single Region , One Layer per Single Region(每个区域一层)
One Layer per Single Color , One Layer per Single Color(每种颜色一层)
One Layer , One Layer(一层)
Old Method - Slowest , Old Method - Slowest(旧方法-最慢)
Off , Off(关)
Octogon , Octogon(八角形)
Octagonal , Octagonal(八角形)
Octagon , Octagon(八边形)
Nothing , Nothing(没有)
Normalize Luma , Normalize Luma(标准化亮度)
Normal Output , Normal Output(正常输出)
Normal Map , Normal Map(法线贴图)
Normal , Normal(正常)
None- Skip , None- Skip(无-跳过)
Non-Rigid , Non-Rigid(可变形)
Non / No , Non / No(否)
Noise , Noise(噪点)
No-Skip , No-Skip(无-跳过)
No Rescaling , No Rescaling(没有缩放)
No Recovery , No Recovery(不恢复)
No Masking , No Masking(没有蒙版)
Nine Layers , Nine Layers(九层)
Newton , Newton(牛顿法)
New Curves [Interactive] , New Curves [Interactive](新曲线[交互式])
Neumann , Neumann(诺依曼)
Neat Merge , Neat Merge(有序合并)
Nearest Neighbor , Nearest Neighbor(相邻)
Nearest , Nearest(最近)
Name , Name(名称)
Naif , Naif(天真)
Munch: The Scream , Munch: The Scream(蒙克:尖叫)
Multiply , Multiply(正片叠底(相乘))
Multiple Layers , Multiple Layers(多层)
Multiple Colored Shapes Over Transp. BG , Multiple Colored Shapes Over Transp. BG(透明背景上的多个颜色形状)
Mul , Mul(正片叠底(相乘))
Motion-Compensated , Motion-Compensated(运动补偿)
Morphological Closing , Morphological Closing(形态闭合)
Morphological - Fastest Sharpest Output , Morphological - Fastest Sharpest Output(形态-最快,最清晰的输出)
Moody , Moody(抑郁)
Mono-Directional , Mono-Directional(单向)
Monet: Wheatstacks - End of Summer , Monet: Wheatstacks - End of Summer(莫奈:小麦堆-夏末)
Monet: Water-Lily Pond , Monet: Water-Lily Pond(莫奈:睡莲池)
Monet: San Giorgio Maggiore at Dusk , Monet: San Giorgio Maggiore at Dusk(莫奈:黄昏的圣乔治·马焦雷)
Mondrian: Gray Tree , Mondrian: Gray Tree(蒙德里安:灰色树)
Mondrian: Evening; Red Tree , Mondrian: Evening; Red Tree(蒙德里安:晚上-红树)
Mondrian: Composition in Red-Yellow-Blue , Mondrian: Composition in Red-Yellow-Blue(蒙德里安:红黄蓝组成)
Modern Film , Modern Film(现代电影)
Mod , Mod(模数或余数)
Mirror-Y , Mirror-Y(镜像-Y)
Mirror-XY , Mirror-XY(镜像-XY)
Mirror-X , Mirror-X(镜像-X)
Mirror Y , Mirror Y(镜像反转Y)
Mirror X , Mirror X(镜像反转X)
Minimum Dimension , Minimum Dimension(最小尺寸)
Minimum , Minimum(最低要求)
Minimal Path , Minimal Path(最小路径)
Minesweeper , Minesweeper(扫雷车)
Mid-Tones , Mid-Tones(中间调)
Mid Noise , Mid Noise(中等噪点)
Micro/macro Details  Adjusted , Micro/macro Details  Adjusted(微观/宏观细节调整)
Merge Brightness / Colors , Merge Brightness / Colors(合并亮度/颜色)
Medium Scale (Smoothed) , Medium Scale (Smoothed)(平均比例(平滑))
Medium Scale (Original) , Medium Scale (Original)(平均比例(原始))
Medium Frequency Layer , Medium Frequency Layer(中频层)
Median (beware: Memory-Consuming!) , Median (beware: Memory-Consuming!)(中间值(请注意：内存消耗！))
Median , Median(中位数)
Mean Curvature , Mean Curvature(平均曲率)
Mean Color , Mean Color(平均颜色)
Maximum Value , Maximum Value(最大值)
Maximum Dimension , Maximum Dimension(最大尺寸)
Maximum , Maximum(最大值)
Math Symbols , Math Symbols(数学符号)
Masked Image , Masked Image(应用蒙版后的图像)
Mask as Bottom Layer , Mask as Bottom Layer(蒙版为底层)
Mask + Background , Mask + Background(蒙版+背景)
Masculine , Masculine(男性)
Manual Controls , Manual Controls(手动控制)
Manual , Manual(手动)
Manhattan , Manhattan(曼哈顿)
Mandelbrot Explorer , Mandelbrot Explorer(Mandelbrot资源管理器)
Mandelbrot , Mandelbrot(曼德布罗特)
Magenta-Yellow , Magenta-Yellow(洋红色-黄色)
Luminosity from Color , Luminosity from Color(颜色亮度)
Luminance Only , Luminance Only(仅亮度)
Luminance , Luminance(光度/亮度)
Luma Noise , Luma Noise(亮度噪点)
Lowres CLUT , Lowres CLUT(低分辨率CLUT)
Lowercase Letters , Lowercase Letters(小写字母)
Lower Layer Is the Bottom Layer for All Blends , Lower Layer Is the Bottom Layer for All Blends(下层是所有混合的底层)
Low Key , Low Key(低调)
Low Frequency Layer , Low Frequency Layer(低频层)
Low , Low(低)
Lock Source , Lock Source(锁源)
Local  Normalisation , Local  Normalisation(局部标准化)
Lissajous Spiral , Lissajous Spiral(利萨如螺旋)
Linf-Norm , Linf-Norm(Linf-范数)
Lines (256) , Lines (256)(线性[Lines](256))
Lineart + Extrapolated Colors , Lineart + Extrapolated Colors(线稿+外推颜色)
Lineart + Colors , Lineart + Colors(线稿+颜色)
Lineart + Color Spots + Extrapolated Colors , Lineart + Color Spots + Extrapolated Colors(线稿+色点+外推颜色)
Lineart + Color Spots , Lineart + Color Spots(线稿+色点)
Lineart , Lineart(线条艺术)
Linearlight , Linearlight(线性光)
Linearburn , Linearburn(线性燃烧)
Linear RGB [red] , Linear RGB [red](线性RGB [红色])
Linear RGB [Red] , Linear RGB [Red](线性RGB [红色])
Linear RGB [green] , Linear RGB [green](线性RGB [绿色])
Linear RGB [Green] , Linear RGB [Green](线性RGB [绿色])
Linear RGB [blue] , Linear RGB [blue](线性RGB [蓝色])
Linear RGB [Blue] , Linear RGB [Blue](线性RGB [蓝色])
Linear RGB [all] , Linear RGB [all](线性RGB [全部])
Linear RGB [All] , Linear RGB [All](线性RGB [全部])
Linear RGB , Linear RGB(线性RGB)
Linear Light , Linear Light(线性光)
Linear Burn , Linear Burn(线性加深)
Linear , Linear(线性)
Lighty Smooth , Lighty Smooth(轻柔光滑)
Lighter , Lighter(较亮)
Lighten , Lighten(变亮)
Light Motive , Light Motive(亮部)
Light Effect , Light Effect(灯光效果)
Left Stream Only , Left Stream Only(仅左流)
Left Foreground , Left Foreground(左前景)
Left Diagonal Foreground , Left Diagonal Foreground(左对角前景)
Left and Right Image Streams , Left and Right Image Streams(左右图像流)
Left and Right Foreground , Left and Right Foreground(左右前景)
Left and Right Background , Left and Right Background(左右背景)
Left  Foreground , Left  Foreground(左前景)
Lch [h-Chrominance] , Lch [h-Chrominance](Lch [h-色度])
Lch [ch-Chrominances] , Lch [ch-Chrominances](Lch [ch-色度])
Lch [c-Chrominance] , Lch [c-Chrominance](Lch [c-色度])
Layer Processing , Layer Processing(图层处理)
Last Frame , Last Frame(最后一帧)
Last , Last(最后)
Large Noise , Large Noise(大噪点)
Lanczos , Lanczos(兰佐斯)
LAB8 , LAB8(Lab8)
LAB-Lightness , LAB-Lightness(LAB亮度)
Lab [lightness] , Lab [lightness](Lab[亮度])
Lab [Lightness] , Lab [Lightness](Lab[亮度])
Lab [b-Chrominance] , Lab [b-Chrominance](Lab[b-色度])
Lab [ab-Chrominances] , Lab [ab-Chrominances](Lab[ab-色度])
Lab [a-Chrominance] , Lab [a-Chrominance](Lab [a-色度])
Lab (Mixed) , Lab (Mixed)(Lab (混合))
Lab (Distinct) , Lab (Distinct)(Lab (明显))
L2-Norm , L2-Norm(L2-范数)
L1-Norm , L1-Norm(L1-范数)
Kodak TRI-X 1600 , Kodak TRI-X 1600(柯达TRI-X 1600)
Kodak TMAX 400 , Kodak TMAX 400(柯达TMAX 400)
Kodak TMAX 3200 , Kodak TMAX 3200(柯达TMAX 3200)
Kodak 1-8 , Kodak 1-8(柯达1-8)
Klimt: The Kiss , Klimt: The Kiss(克里姆特:吻)
Klee: Red Waistcoat , Klee: Red Waistcoat(克利:红色背心)
Klee: Polyphony 2 , Klee: Polyphony 2(克利:复调2)
Klee: Oriental Pleasure Garden Anagoria , Klee: Oriental Pleasure Garden Anagoria(克利:东方游乐园安那哥里亚)
Klee: In the Style of Kairouan , Klee: In the Style of Kairouan(克利:凯鲁万风格)
Klee: Death and Fire , Klee: Death and Fire(克利:死亡与火灾)
Keftales , Keftales(凯夫塔莱斯)
Keep Aspect Ratio , Keep Aspect Ratio(保持长宽比例)
Kandinsky: Yellow-Red-Blue , Kandinsky: Yellow-Red-Blue(康定斯基：黄色-红色-蓝色)
Kandinsky: Squares with Concentric Circles , Kandinsky: Squares with Concentric Circles(康定斯基：具有同心圆的正方形)
Julia , Julia(朱莉亚)
Jet (256) , Jet (256)(热成像[jet](256))
Jet , Jet(热成像[jet])
Jawbreaker , Jawbreaker(颚破)
Isotropic , Isotropic(各向同性)
Inward , Inward(向内)
Inverse Radius , Inverse Radius(反向半径)
Inverse Depth Map , Inverse Depth Map(反深度图)
Interpolate , Interpolate(插值)
Interlace Vertical , Interlace Vertical(垂直隔行)
Interlace Horizontal , Interlace Horizontal(水平隔行)
Inside-Out , Inside-Out(由内向外)
Inside , Inside(内)
Insert New CLUT Layer , Insert New CLUT Layer(插入新的CLUT层)
Inner , Inner(内)
Increasing , Increasing(升序)
Inch , Inch(英寸)
Impulses 9x9 , Impulses 9x9(冲量9x9)
Impulses 7x7 , Impulses 7x7(冲量7x7)
Impulses 5x5 , Impulses 5x5(冲量5x5)
Image + Colors (Multi-Layers) , Image + Colors (Multi-Layers)(图像+颜色(多层))
Image + Colors (2 Layers) , Image + Colors (2 Layers)(图像+颜色(2层))
Image + Background , Image + Background(图片+背景)
Image , Image(图片)
Illumination , Illumination(照度图)
Ignore , Ignore(忽视)
Identity , Identity(身分识别)
Hybrid Median - Medium Speed Softest Output , Hybrid Median - Medium Speed Softest Output(混合中值-中速输出)
Human 2 , Human 2(人类2)
Human 1 , Human 1(人1)
Human  2 , Human  2(人类2)
HSV [value] , HSV [value](HSV [明度])
HSV [Value] , HSV [Value](HSV [明度])
HSV [saturation] , HSV [saturation](HSV [饱和度])
HSV [Saturation] , HSV [Saturation](HSV [饱和度])
HSV [hue] , HSV [hue](HSV [色相])
HSV [Hue] , HSV [Hue](HSV [色相])
HSL [lightness] , HSL [lightness](HSL [亮度])
HSL [Lightness] , HSL [Lightness](HSL [亮度])
HSI [intensity] , HSI [intensity](HSI[强度])
HSI [Intensity] , HSI [Intensity](HSI[强度])
Householder , Householder(豪斯霍尔德法)
Hough Transform , Hough Transform(霍夫变换)
Hot (256) , Hot (256)(暖[Hot](256))
Hot , Hot(暖[Hot])
Horizontal Stripes , Horizontal Stripes(水平条纹)
Horizontal Array , Horizontal Array(水平阵列)
Horizontal , Horizontal(水平)
Hokusai: The Great Wave , Hokusai: The Great Wave(葛饰北斋:大浪)
Histogram Transfer , Histogram Transfer(直方图转移)
Histogram , Histogram(直方图)
Highres CLUT , Highres CLUT(高分辨率CLUT)
High Speed , High Speed(高速)
High Quality , High Quality(高质量)
High Key , High Key(高调)
High Frequency Layer , High Frequency Layer(高频层)
High (Slower) , High (Slower)(高(慢))
High , High(高)
Hexagonal , Hexagonal(六角形)
Hexagon , Hexagon(六边形)
Hearts (Outline) , Hearts (Outline)(心形(轮廓))
Hardmix , Hardmix(硬混)
Hardlight , Hardlight(强光)
Hard Mix , Hard Mix(实色混合)
Hard Light , Hard Light(强光)
Hard Dark , Hard Dark(强暗)
Hard , Hard(硬)
Hanoi Tower , Hanoi Tower(河内塔)
Half Side  by Side , Half Side  by Side(左右各半)
Half Bottom/top , Half Bottom/top(下半部/上半部)
Gyroid , Gyroid(螺旋)
Guide Recovery , Guide Recovery(引导恢复)
Gritty , Gritty(真实)
Grid , Grid(网格)
Grey , Grey(灰色)
Green-Red , Green-Red(绿红)
Green-Blue , Green-Blue(绿-蓝)
Grayscale , Grayscale(灰度)
Gray , Gray(灰色)
Graphix Colors , Graphix Colors(Graphix颜色)
Graphic Colours , Graphic Colours(图像颜色)
Grainmerge , Grainmerge(颗粒合并)
Grainextract , Grainextract(颗粒)
Grainext , Grainext(颗粒抽取)
Grain Only , Grain Only(仅颗粒)
Grain Merge , Grain Merge(颗粒合并)
Grain Extract , Grain Extract(颗粒抽取)
Gradient Values , Gradient Values(渐变值)
Gradient , Gradient(梯度)
Gouraud , Gouraud(高氏着色)
Gold , Gold(金)
Global Mapping , Global Mapping(全局映射)
Glamour Glow , Glamour Glow(魅力发光)
Generate Random-Colors Layer , Generate Random-Colors Layer(生成随机颜色层)
Gaussian , Gaussian(高斯)
Gamma Balance , Gamma Balance(伽玛平衡)
Full Side by Uncompressed , Full Side by Uncompressed(全侧未压缩)
Full Side by Side Keep Width , Full Side by Side Keep Width(完整并排保持宽度)
Full Side by Side Keep Uncompressed , Full Side by Side Keep Uncompressed(完整并排不压缩)
Full Layer Stack -Slow!- , Full Layer Stack -Slow!-(全层堆栈-慢!-)
Full HD Frame Packing , Full HD Frame Packing(全高清帧包装)
Full Colors , Full Colors(全彩)
Full Bottom/top , Full Bottom/top(完整 上/下)
Full (Allows Multi-Layers) , Full (Allows Multi-Layers)(完整(允许多层))
Full , Full(□完整)
From Reference Color , From Reference Color(从参考色)
From Input , From Input(从输入)
Freeze , Freeze(冻结)
Fractured Clouds , Fractured Clouds(碎云)
Fractal Whirl , Fractal Whirl(分形漩涡)
Fractal Noise , Fractal Noise(分形噪点)
Fourier Filtering , Fourier Filtering(傅立叶滤波)
Four Threads , Four Threads(四线程)
Four Layers , Four Layers(四层)
Forward Vertical , Forward Vertical(←▶垂直分割原图在上)
Forward Horizontal , Forward Horizontal(↑▼水平分割原图在左)
Forward  Horizontal , Forward  Horizontal(↑▼水平分割原图在上)
Forward , Forward(上面)
Flat-Shaded , Flat-Shaded(平面着色)
Flat , Flat(平面)
Flag (256) , Flag (256)(旗帜[Flag](256))
Flag , Flag(旗帜[Flag])
Five Layers , Five Layers(五层)
Fish-Eye Effect , Fish-Eye Effect(鱼眼效应)
First Frame , First Frame(第一帧)
First , First(第一)
Fireworks , Fireworks(烟花)
Fire Effect , Fire Effect(射击效果)
Finest (slower) , Finest (slower)(最精细(较慢))
Fine Noise , Fine Noise(细噪点)
Final Image , Final Image(最终影像)
Filled , Filled(填充)
Fast Recovery , Fast Recovery(快速恢复)
Fast Blend , Fast Blend(快速混合)
Fast (Approx.) , Fast (Approx.)(快速&#40;大概&#41;)
Faded Print , Faded Print(褪色打印)
Extrapolated Colors + Lineart , Extrapolated Colors + Lineart(外推颜色+线稿)
Extrapolate Color Spots on Transparent Top Layer , Extrapolate Color Spots on Transparent Top Layer(推断透明顶层上的色斑)
Extra  Smooth , Extra  Smooth(格外光滑)
Exponential , Exponential(指数的)
Expired 69 , Expired 69(已过期69)
Expand , Expand(扩大)
Exclusion , Exclusion(排除)
Euclidean , Euclidean(欧几里得)
Erosion , Erosion(侵蚀)
Ellipsoid , Ellipsoid(椭球)
Ellipse Painting , Ellipse Painting(椭圆画)
Ellipse , Ellipse(椭圆形)
Eight Threads , Eight Threads(八线程)
Eight Layers , Eight Layers(八层)
Edges-2 (beware: Memory-Consuming!) , Edges-2 (beware: Memory-Consuming!)(边缘-2(请注意：内存消耗！))
Edges-1 (beware: Memory-Consuming!) , Edges-1 (beware: Memory-Consuming!)(边缘-1(请注意：内存消耗！))
Edges-0.5 (beware: Memory-Consuming!) , Edges-0.5 (beware: Memory-Consuming!)(边缘-0.5(请注意：内存消耗！))
Edge-Oriented , Edge-Oriented(边缘-导向)
Edge Mask , Edge Mask(边缘蒙版)
Dusty , Dusty(灰暗)
Duplicate Vertical , Duplicate Vertical(◀→垂直重复)
Duplicate Top , Duplicate Top(▲↓顶部重复)
Duplicate Right , Duplicate Right(←▶右侧重复)
Duplicate Left , Duplicate Left(◀→左侧重复)
Duplicate Horizontal , Duplicate Horizontal(▲↓水平重复)
Duplicate Bottom , Duplicate Bottom(↑▼底部重复)
Dream , Dream(梦幻)
Dots , Dots(点)
DoNothing , DoNothing(无)
Don't Sort , Don't Sort(不要排序)
Dodge , Dodge(减淡 (颜色减淡))
Divide , Divide(相除)
Distance (Fast) , Distance (Fast)(稀疏(快))
Disabled , Disabled(不使用)
Disable , Disable(禁用)
Dirichlet , Dirichlet(狄利克雷)
Direct , Direct(正向)
Dilation - Original , Dilation - Original(扩张-原始)
Digits , Digits(数字)
Diffusion , Diffusion(扩散)
Different Axis , Different Axis(不同轴)
Difference , Difference(差值)
Dif , Dif(差值/差异)
Dices with Colored Sides , Dices with Colored Sides(彩色骰子黑点数)
Dices with Colored Numbers , Dices with Colored Numbers(彩色点数黑骰子)
Diamonds (Outline) , Diamonds (Outline)(钻石(轮廓))
Diamonds , Diamonds(菱形)
Diamond (Inv.) , Diamond (Inv.)(菱形(反转))
Diamond , Diamond(菱形)
Deuteranopia , Deuteranopia(绿色盲)
Deuteranomaly , Deuteranomaly(绿色弱)
Depth Maps Only , Depth Maps Only(仅深度图)
Depth Map Only , Depth Map Only(仅深度图)
Depth Map , Depth Map(深度图)
Delaunay: Windows Open Simultaneously , Delaunay: Windows Open Simultaneously(德洛内:窗口同时打开)
Delaunay: Portrait De Metzinger , Delaunay: Portrait De Metzinger(德洛内:肖像梅钦格)
Delaunay-Oriented , Delaunay-Oriented(Delaunay-导向)
Decreasing , Decreasing( 降序)
Decompose , Decompose(分解)
Decagon , Decagon(十边形)
Daylight Scene , Daylight Scene(日光场景)
Darker , Darker(较暗)
Dark Walls , Dark Walls(暗墙)
Dark Screen , Dark Screen(深色滤色)
Dark Pixels , Dark Pixels(暗像素)
Dark Motive , Dark Motive(暗部)
Dark Edges , Dark Edges(深色边缘)
Dark Boost , Dark Boost(暗色加强)
Dark  Motive , Dark  Motive(暗部)
Cylinder , Cylinder(圆柱)
Cut & Normalize , Cut & Normalize(剪切并标准化)
Custom Transform , Custom Transform(自定义转换)
Custom Style (Top Layer) , Custom Style (Top Layer)(自定义样式(上层))
Custom Style (Bottom Layer) , Custom Style (Bottom Layer)(自定义样式(下层))
Custom Layers , Custom Layers(自定义层)
Custom Depth Maps Stream , Custom Depth Maps Stream(自定义深度图流)
Custom Correction Map , Custom Correction Map(自定义校正图)
Custom , Custom(自定义)
Curves Previously Defined , Curves Previously Defined(先前定义的曲线)
Curved , Curved(曲线)
Cup , Cup(杯子)
Cubic , Cubic(立方)
Cube (256) , Cube (256)(立方体[Cube](256))
Cube , Cube(立方体[Cube])
Crosses 2 , Crosses 2(十字2-×)
Crosses 1 , Crosses 1(圆形1-+)
Crossed , Crossed( 交叉)
Criterion , Criterion(标准)
Couleurs B , Couleurs B(库勒B)
Couleurs A , Couleurs A(库勒A)
Cosinusoidal , Cosinusoidal(余弦曲线)
Copper , Copper(铜)
Cool (256) , Cool (256)(冷色[Cool](256))
Cool , Cool(冷色[Cool])
Contours + Flocon/Snowflake , Contours + Flocon/Snowflake(轮廓+雪花)
Connect-Four , Connect-Four(四连)
Cone , Cone(锥体)
Composed Layers , Composed Layers(组成层)
Comix Colors , Comix Colors(混色)
Comic Style , Comic Style(漫画风格)
Column by Column , Column by Column(逐列)
Colour , Colour(颜色)
Colors Only (1 Layer) , Colors Only (1 Layer)(仅颜色(1层))
Colors Only , Colors Only(仅颜色)
Colorized Image (1 Layer) , Colorized Image (1 Layer)(彩色图像(1层))
Colored Regions , Colored Regions(着色区域)
Colored on Transparent , Colored on Transparent(透明背景彩色字)
Colored on Black , Colored on Black(黑底彩字)
Colored Lineart , Colored Lineart(着色线稿)
Colored Geometry , Colored Geometry(着色几何)
Colorburn , Colorburn(颜色加深 (变暗))
Color Spots + Lineart , Color Spots + Lineart(色点+线稿)
Color Spots + Extrapolated Colors + Lineart , Color Spots + Extrapolated Colors + Lineart(色点+外推颜色+线稿)
Color on White , Color on White(白底彩字)
Color Mask , Color Mask(颜色蒙版)
Color Doping , Color Doping(彩色掺杂)
Color Channel  Smoothing , Color Channel  Smoothing(色彩通道平滑)
Color Burn , Color Burn(颜色加深)
Coarsest (faster) , Coarsest (faster)(最粗糙(更快))
CMYK [yellow] , CMYK [yellow](CMYK [黄色])
CMYK [Yellow] , CMYK [Yellow](CMYK [黄色])
CMYK [magenta] , CMYK [magenta](CMYK [洋红色])
CMYK [Magenta] , CMYK [Magenta](CMYK [洋红色])
CMYK [cyan] , CMYK [cyan](CMYK [青色])
CMYK [Cyan] , CMYK [Cyan](CMYK [青色])
Closing - Original , Closing - Original(关闭-原始)
Closing - Opening , Closing - Opening(关闭-开放)
Closing , Closing(关闭)
Clip RGB , Clip RGB(裁剪RGB)
Clip CMYK , Clip CMYK(裁剪CMYK)
Clip , Clip(裁剪)
Circular , Circular(圆形)
Circles 2 , Circles 2(圆形2-○)
Circles 1 , Circles 1(圆形1-●)
Circles (Outline) , Circles (Outline)(圆形(轮廓))
Circles , Circles(圆)
Circle to Square , Circle to Square(圆到方)
Circle (Inv.) , Circle (Inv.)(圆(反转))
Circle , Circle(圆形)
Chroma Noise , Chroma Noise(色度噪点)
Checkered Inverse , Checkered Inverse(↖◥棋盘格反向切割)
Checkered , Checkered(◤↗棋盘格切割)
Chebyshev , Chebyshev(切比雪夫)
Central Perspective Outdoor , Central Perspective Outdoor(中央透视户外)
Central Perspective Indoor , Central Perspective Indoor(室内中央视野)
Central  Perspective Outdoor , Central  Perspective Outdoor(中央透视户外)
Centimeter , Centimeter(厘米)
Center Foreground , Center Foreground(中心前景)
Center Background , Center Background(中心背景)
Card Suits , Card Suits(纸牌图案)
C[Magenta]YK , C[Magenta]YK(C [洋红色] YK)
By Value , By Value(通过数值)
By Red Component , By Red Component(根据红色成分)
By Red Chrominance , By Red Chrominance(根据红色色度)
By Luminance , By Luminance(根据亮度Luminance)
By Lightness , By Lightness(根据亮度Lightness)
By Iteration , By Iteration(通过迭代)
By Green Component , By Green Component(根据绿色成分)
By Custom Expression , By Custom Expression(通过自定义表达式)
By Blue Component , By Blue Component(根据蓝色成分)
By Blue Chrominance , By Blue Chrominance(根据蓝色色度)
Bump Map , Bump Map(凹凸贴图)
Built-in Gray , Built-in Gray(内置灰色)
Bronze , Bronze(青铜)
Brighter , Brighter(较亮)
Bright Pixels , Bright Pixels(亮像素)
Braque: The Mandola , Braque: The Mandola(布拉克:曼陀罗)
Braque: Little Bay at La Ciotat , Braque: Little Bay at La Ciotat(布拉克:拉西奥塔的小海湾)
Braque: Le Viaduc à L'Estaque , Braque: Le Viaduc à L'Estaque(布拉克:埃斯塔克高架桥)
Braque: Landscape near Antwerp , Braque: Landscape near Antwerp(布拉克:安特卫普附近的风景)
Box , Box(正方体)
Bouncing Balls , Bouncing Balls(弹跳球)
Bottom-Right , Bottom-Right(右下)
Bottom-Left , Bottom-Left(左下)
Bottom Right , Bottom Right(右下)
Bottom Left , Bottom Left(左下)
Bottom Layer , Bottom Layer(下层)
Bottom and Top Foreground , Bottom and Top Foreground(底部和顶部前景)
Bottom and Right Foreground , Bottom and Right Foreground(底部和右前景)
Bottom and Left Foreground , Bottom and Left Foreground(底部和左前景)
Both , Both(二者)
Blue-Green , Blue-Green(蓝绿)
Blue Steel , Blue Steel(蓝钢)
Blue Chrominance , Blue Chrominance(蓝色色度)
Blue & Red Chrominances , Blue & Red Chrominances(蓝色和红色色度)
Bloom , Bloom(辉光)
Bloc , Bloc(团块)
Blobs Editor , Blobs Editor(斑点编辑器)
Blend All Layers , Blend All Layers(混合所有图层)
Blank , Blank(空白)
Black to White , Black to White(黑到白)
Black on White , Black on White(白底黑线)
Black on Transparent White , Black on Transparent White(透明黑底·白字)
Black on Transparent , Black on Transparent(透明底黑线)
Black Dices , Black Dices(黑色骰子)
Binary Digits , Binary Digits(二进制数字)
Binary , Binary(二元)
Bilateral , Bilateral(双边)
Bidirectional [Smooth] , Bidirectional [Smooth](双向[平滑])
Bidirectional [Sharp] , Bidirectional [Sharp](双向[锐利])
Bicubic , Bicubic(双三次)
Bi-Directional , Bi-Directional(双向)
Best Match , Best Match(最佳匹配)
Below , Below(下面)
Behind , Behind(积压)
Bayer , Bayer(拜耳)
Batch Processing , Batch Processing(批量处理)
Bars , Bars(条形)
Balls , Balls(球型·)
Backward Vertical , Backward Vertical(◀→垂直分割新图在左)
Backward Horizontal , Backward Horizontal(▲↓水平分割新图在上)
Backward , Backward(下面)
B&W Photograph , B&W Photograph(黑白照片)
B-Component , B-Component(B-分量)
Avg , Avg(平均值)
Average RGB , Average RGB(平均RGB)
Average 9x9 , Average 9x9(平均9x9)
Average 7x7 , Average 7x7(平均7x7)
Average 5x5 , Average 5x5(平均5x5)
Average 3x3 , Average 3x3(平均3x3)
Average , Average(平均值)
Automatic & Contrast Mask , Automatic & Contrast Mask(自动和对比蒙版)
Automatic [Scan All Hues] , Automatic [Scan All Hues](自动[扫描所有色调])
Automatic , Automatic(自动)
Auto-Clean Bottom Color Layer , Auto-Clean Bottom Color Layer(自动清洁底色层)
Auto , Auto(自动)
Asplenium Adiantum-Nigrum , Asplenium Adiantum-Nigrum(紫花铁线莲)
Ascii , Ascii(Ascii编码)
Artistic Round , Artistic Round(艺术-环绕)
Artistic Hard , Artistic Hard(艺术-硬)
Artistic  Modern , Artistic  Modern(艺术-现代)
Arrows (Outline) , Arrows (Outline)(箭头(轮廓))
Arrows , Arrows(箭头)
Arc-Tangent , Arc-Tangent(弧切线)
Any , Any(任何)
Antisymmetry , Antisymmetry(反对称)
Anisotropic , Anisotropic(各向异性)
Angular , Angular(角度)
And , And(与)
Anaglyph: Red/Cyan , Anaglyph: Red/Cyan(立体彩色 红色/青色)
Anaglyph Red/cyan Optimized , Anaglyph Red/cyan Optimized(立体彩色 红色/蓝色 优化)
Anaglyph Red/cyan , Anaglyph Red/cyan(立体彩色 红色/青色)
Anaglyph Reconstruction , Anaglyph Reconstruction(立体彩色 重建)
Anaglyph Green/magenta Optimized , Anaglyph Green/magenta Optimized(立体彩色 绿色/洋红 优化)
Anaglyph Green/magenta , Anaglyph Green/magenta(立体彩色 绿色/洋红)
Anaglyph Blue/yellow Optimized , Anaglyph Blue/yellow Optimized(立体彩色 蓝色/黄色 优化)
Anaglyph Blue/yellow , Anaglyph Blue/yellow(立体彩色 蓝色/黄色)
Anaglypgh Green/magenta Optimized , Anaglypgh Green/magenta Optimized(Anaglypgh绿色/洋红色优化)
Alternating , Alternating(交替的)
Alpha , Alpha(透明度)
All XY-Flips , All XY-Flips(所有XY翻转)
All Tones , All Tones(所有色调)
All Layers and Masks , All Layers and Masks(所有图层和蒙版)
All but Reference Color , All but Reference Color(除参考色外的所有颜色)
All 90° Rotations , All 90° Rotations(全部90° 轮换)
All 45° Rotations , All 45° Rotations(全部45° 轮换)
All , All(所有)
Aligned , Aligned(对齐)
Align Image Streams , Align Image Streams(对齐图像流)
Aggresive , Aggresive(积极)
Additive , Additive(添加)
Add , Add(相加)
Adaptive , Adaptive(自适应)
Achromatopsia , Achromatopsia(色盲)
Achromatomaly , Achromatomaly(色弱)
A-Component , A-Component(A-分量)
9th , 9th(第9)
90 Deg. , 90 Deg.(90度)
8th , 8th(第8)
8px , 8px(8像素)
