<b>Arrays & Tiles</b> , <b>Arrays und Kacheln</b>
Visible Watermark , Sichtbares Wasserzeichen
Vivid Edges , Lebendige Ränder
Vivid Edges* , Lebendige Ränder*
Vivid Light , Lebendiges Licht
Vivid Screen , Anschaulicher Bildschirm
Wall , Wand
Warm (highlight) , Warm (markieren)
Warm (yellow) , Warm (gelb)
Warm Dark Contrasty , Warm-Dunkel-Kontrast
Warm Fade , Warmes Fade
Warm Fade 1 , Warme Blende 1
Warm Sunset Red , Warmes Sonnenuntergangsrot
Warm Teal , Warme Krickente
Warm Vintage , Warme Weinlese
Warp [Interactive] , Warp [Interaktiv]
Warp by Intensity , Verwerfung nach Intensität
Water , Wasser
Waterfall , Wasserfall
Wave , Welle
Wave(s) , Welle(n)
Wavelength , Wellenlänge
Waves Amplitude , Wellen-Amplitude
Waves Smoothness , Glätte der Wellen
We'll See , Wir werden sehen.
Weave , Weben
Weird , Seltsam
Whirl Drawing , Wirbel-Zeichnung
Whirls , Wirbelt
White , Weiß
White Dices , Weiße Würfel
White Layers , Weiße Schichten
White Level , Weiß Level
White on Black , Weiß auf Schwarz
White on Transparent , Weiß auf Transparent
White on Transparent Black , Weiß auf transparentem Schwarz
White Point , Weißer Punkt
White to Black , Weiß bis Schwarz
White Walls , Weiße Wände
Whitening , Bleichmittel
Whiter Whites , Weißer Weißer
Whites , Weiße
Width , Breite
Width (%) , Breite (%)
Winter Lighthouse , Winter-Leuchtturm
Wipe , Wischen Sie
Wireframe , Drahtgitter
Wiremap , Übersichtskarte
Without , Ohne
Wooden Gold 20 , Hölzernes Gold 20
Work on Frameset , Arbeit am Frameset
Wrap , einwickeln
X Center , X-Zentrum
X Origine , X Ursprung
X-Angle , X-Winkel
X-Axis , X-Achse
X-Axis Then Y-Axis , X-Achse dann Y-Achse
X-Border , X-Grenze
X-Centering , X-Zentrierung
X-Centering (%) , X-Zentrierung (%)
X-Coordinate , X-Koordinate
X-Coordinate [Manual] , X-Koordinate [Manuell]
X-Curvature , X-Krümmung
X-End (%) , X-Ende (%)
X-Factor , X-Faktor
X-Factor (%) , X-Faktor (%)
X-Multiplier , X-Multiplikator
X-Offset , X-Versatz
X-Offset (%) , X-Versatz (%)
X-Scale , X-Skala
X-Shadow , X-Schatten
X-Shift (%) , X-Verschiebung (%)
X-Shift (px) , X-Verschiebung (px)
X-Size , X-Größe
X-Size (px) , X-Größe (px)
X-Smoothness , X-Glätte
X-Tiles , X-Kacheln
X-Variations , X-Varianten
X/Y-Ratio , X/Y-Verhältnis
X1 (none) , X1 (keine)
XY Mirror , XY-Spiegel
XY-Axes , XY-Achsen
XY-Axis , XY-Achse
XY-Coordinates (%) , XY-Koordinaten (%)
XY-Factor , XY-Faktor
XY-Light , XY-Licht
Y Center , Y Mitte
Y Origine , Y Ursprung
Y-Angle , Y-Winkel
Y-Axis , Y-Achse
Y-Axis Then X-Axis , Y-Achse dann X-Achse
Y-Border , Y-Grenze
Y-Center , Y-Zentrum
Y-Centering , Y-Zentrierung
Y-Centering (%) , Y-Zentrierung (%)
Y-Coordinate , Y-Koordination
Y-Coordinate [Manual] , Y-Koordinate [Handbuch]
Y-Curvature , Y-Krümmung
Y-End (%) , Y-Ende (%)
Y-Factor , Y-Faktor
Y-Factor (%) , Y-Faktor (%)
Y-Light , Y-Licht
Y-Motion , Y-Bewegung
Y-Multiplier , Y-Multiplikator
Y-Offset , Y-Versatz
Y-Offset (%) , Y-Versatz (%)
Y-Ratio , Y-Verhältnis
Y-Scale , Y-Skala
Y-Seed (Julia) , Y-Samen (Julia)
Y-Shadow , Y-Schatten
Y-Shift , Y-Schicht
Y-Shift (%) , Y-Verschiebung (%)
Y-Shift (px) , Y-Verschiebung (px)
Y-Size , Y-Größe
Y-Size (px) , Y-Größe (px)
Y-Smoothness , Y-Glätte
Y-Tiles , Y-Kacheln
Y-Variations , Y-Varianten
YAG Effect , YAG-Effekt
YCbCr (Chroma Only) , YCbCr (nur Chroma)
YCbCr (Distinct) , YCbCr (unterscheidbar)
YCbCr (Luma Only) , YCbCr (nur Luma)
YCbCr (Mixed) , YCbCr (gemischt)
YCbCr [Blue Chrominance] , YCbCr [Blaue Chrominanz]
YCbCr [Blue-Red Chrominances] , YCbCr [Blau-Rot-Chrominanzen]
YCbCr [Green Chrominance] , YCbCr [Grüne Chrominanz]
YCbCr [Luminance] , YCbCr [Leuchtdichte]
YCbCr [Red Chrominance] , YCbCr [Rote Chrominanz]
Yellow , Gelb
Yellow 55B , Gelb 55B
Yellow Factor , Gelb-Faktor
Yellow Film 01 , Gelber Film 01
Yellow Shift , Gelb-Verschiebung
Yellow Smoothness , Gelb Glätte
YES8 , JA8
You Can Do It , Sie können es tun
Z-Angle , Z-Winkel
Z-Motion , Z-Bewegung
Z-Multiplier , Z-Multiplikator
Z-Range , Z-Bereich
Z-Scale , Z-Skala
Z-Size , Z-Größe
Z^^6 + Z^^3 - 1 , Z^^^6 + Z^^3 - 1
Z^^8 + 15*z^^4 - 1 , Z^^^8 + 15*z^^^4 - 1
Zero , Null
ZilverFX - B&W Solarization , ZilverFX - Schwarz-Weiß-Solarisation
ZilverFX - InfraRed , ZilverFX - InfraRot
ZilverFX - Vintage B&W , ZilverFX - Jahrgangs-S&W
Zone System , Zonensystem
Zoom , vergrößern
Zoom (%) , Vergrößern (%)
Zoom Center , Zoom-Zentrum
Zoom Factor , Zoom-Faktor
Zoom In , Vergrößern
Zoom Out , Verkleinern
