<b>Arrays & Tiles</b> , <b>Массивы и плитки</b>
Ignore Current Aspect , Игнорировать текущий аспект
Ilford Delta 100 , Дельта Ильфорда 100
Ilford Delta 3200 , Дельта Ильфорда 3200
Ilford Delta 400 , Дельта Ильфорда 400
Ilford FP4 Plus 125 , Илфорд FP4 Plus 125
Ilford HPS 800 , Ильфордская HPS 800
Ilford Pan F Plus 50 , Илфорд Пан Плюс 50
Ilford XP2 , Илфорд XP2
Illuminate 2D Shape , Иллюминат 2D Форма
Illumination , Освещение
Illustration Look , Иллюстрация Посмотрите
Image , Изображение
Image + Background , Изображение + фон
Image + Colors (2 Layers) , Изображение + цвета (2 слоя)
Image + Colors (Multi-Layers) , Изображение + цвета (многослойное)
Image Contour Dimensions , Размеры контура изображения
Image Smoothness , Гладкость изображения
Image to Grab Color from (.Png) , Изображение для захвата цвета из (.Png)
Image Weight , Вес изображения
Import Data , Импортные данные
Import RGB-565 File , Импорт RGB-565 Файл
Impulses 5x5 , Импульсы 5х5
Impulses 7x7 , Импульсы 7х7
Impulses 9x9 , Импульсы 9х9
Inch , Дюйм
Include Opacity Layer , Включить слой непрозрачности
Increasing , Увеличение
Indoor Blue , Крытый синий
Industrial 33 , Промышленные 33
Influence of Color Samples (%) , Влияние цветных проб (%)
Information , Информация
Init. Resolution , Инит. Резолюция
Init. Type , Инит. Введите .
Init. With High Gradients Only , Инит. Только с высокими уклонами
Initial Density , Первоначальная плотность
Initialization , Инициализация
Ink Wash , промывка чернил
Inner , Внутренний
Inner Fading , Внутреннее затухание
Inner Length , Внутренняя длина
Inner Radius , Внутренний радиус
Inner Radius (%) , Внутренний радиус (%)
Inner Shade , Внутренний оттенок
Inpaint [Holes] , Покраска [Отверстия]
Inpaint [Morphological] , Краска [морфологическая]
Inpaint [Multi-Scale] , Покраска [Мульти-шкала]
Inpaint [Patch-Based] , Покраска [на основе патча]
Inpaint [Transport-Diffusion] , Краска [Транспорт-Диффузия]
Input , Вход
Input Folder , Входная папка
Input Frame Files Name , Имя файла входной кадра
Input Guide Color , Цвет руководства по вводу
Input Layers , входные слои
Input Transparency , Прозрачность ввода
Input Type , Тип ввода
Insert New CLUT Layer , Вставить новый слой CLUT
Inside , Внутри
Inside Color , Внутренний цвет
Instant [Consumer] (54) , Мгновенный [Потребитель] (54)
Instant [Pro] (68) , Мгновенный [Про] (68)
Intarsia , Интарсия
Intensity , Интенсивность
Intensity of Purple Fringe , Интенсивность фиолетовой границы
Inter-Frames , Интерфреймы
Interlace Horizontal , Горизонтальное сплетение
Interp , Интерп
Interpolate , Интерполировать
Interpolation , Интерполяция
Interpolation Type , тип Интерполяции
Inverse , Обратный ход
Inverse Depth Map , Обратная карта глубины
Inverse Radius , обратный радиус
Inverse Transform , Обратное преобразование
Inversions , Инверсии
Invert Background / Foreground , Инвертировать фон / Передний план
Invert Blur , Инвертировать Пятно
Invert Canvas Colors , Инвертировать цвета холста
Invert Colors , Инвертные цвета
Invert Image Colors , Инвертировать цвета изображения
Invert Luminance , Инвертируйте финансирование
Invert Mask , Инвертная маска
Inward , Внутренний адрес
Isophotes , Изофоты
Isotropic , Изотропный
Iteration , Итерация
Iterations , Итерации
J.T. Semple (14) , Джей Ти Семпл (14)
Japanese Maple Leaf , Японский кленовый лист
Jet (256) , Джет (256)
JPEG Artefacts , артефакты JPEG
Julia , Джулия
Just Peachy , Просто Пиччи
K-Factor , K-Фактор
Kaleidoscope [Blended] , Калейдоскоп [Смешанный]
Kaleidoscope [Polar] , Калейдоскоп [Полярный]
Kaleidoscope [Symmetry] , Калейдоскоп [Симметрия]
Kandinsky: Squares with Concentric Circles , Кандинский: Квадраты с концентрическими кругами
Kandinsky: Yellow-Red-Blue , Кандинский: Желто-красно-синий
Keep , Хранить
Keep Aspect Ratio , Сохранять соотношение сторон
Keep Base Layer as Input Background , Держите базовый уровень в качестве входного фона
Keep Borders Square , Площадь Сохранить границы
Keep Color Channels , Сохранять цветные каналы
Keep Colors , Сохранять цвета
Keep Detail , Хранить Подробности
Keep Detail Layer Separate , Держите детальный слой отдельно
Keep Iterations as Different Layers , Держите итерации как разные слои.
Keep Layers Separate , Держите слои отдельно
Keep Original Image Size , Сохранить оригинальный размер изображения
Keep Original Layer , Сохранить оригинальный слой
Keep Tiles Square , Держите Площадь Плитки
Keep Transparency in Output , Сохранить прозрачность на выходе
Kernel , Кернел
Kernel Multiplier , мультипликатор ядра
Kernel Type , тип ядра
Key Factor , Ключевой фактор
Key Frame Rate , Частота смены кадров
Key Shift , Смещение клавиш
Key Smoothness , Ключевая гладкость
Keypoint Influence (%) , Ключевое влияние (%)
KH 1 , КН 1
KH 10 , КН 10
KH 2 , КН 2
KH 4 , КН 4
KH 6 , КН 6
KH 7 , КН 7
KH 8 , КН 8
KH 9 , КН 9
Kitaoka Spin Illusion , спиновая иллюзия Китаока
Klee: Death and Fire , Клее: Смерть и огонь
Klee: In the Style of Kairouan , Клее: В стиле Кайруана...
Klee: Oriental Pleasure Garden Anagoria , Клее: Сад восточных удовольствий Анагория
Klee: Polyphony 2 , Клее: Полифония 2
Klee: Red Waistcoat , Клее: Красный Жилет
Klimt: The Kiss , Климт: Поцелуй
Kodak 1-8 , Кодак 1-8
Kodak E-100 GX Ektachrome 100 , Кодак Е-100 GX Эктахром 100
Kodak Ektachrome 100 VS , Кодак Эктахром 100 ВС
Kodak Ektar 100 , Кодак Эктар 100
Kodak Elite 100 XPRO , Кодак Элит 100 XPRO
Kodak Elite Chrome 200 , Хром Кодак Элит 200
Kodak Elite Chrome 400 , Хром Кодак Элит 400
Kodak Elite Color 200 , Кодак Элит Цвет 200
Kodak Elite Color 400 , Кодак Элит Цвет 400
Kodak Kodachrome 200 , Кодак Кодахром 200
Kodak Kodachrome 25 , Кодак Кодахром 25
Kodak Kodachrome 64 , Кодак Кодахром 64
Kodak Portra 160 , Кодакский портрет 160
Kodak Portra 160 + , Портрет Кодак 160 +
